year,round,driverId,stint,tyre,tyre_description,tyre_status,from_lap,to_lap
2019,12,albon,1,C3,Medium,New,1,28
2019,12,albon,2,C2,Hard,New,29,69
2019,12,bottas,1,C3,Medium,Used,1,5
2019,12,bottas,2,C2,Hard,New,6,46
2019,12,bottas,3,C3,Medium,Used,47,69
2019,12,gasly,1,C3,Medium,Used,1,28
2019,12,gasly,2,C2,Hard,New,29,69
2019,12,giovinazzi,1,C3,Medium,New,1,15
2019,12,giovinazzi,2,C2,Hard,New,16,68
2019,12,grosjean,1,C4,Soft,Used,1,19
2019,12,grosjean,2,C2,Hard,New,20,49
2019,12,hamilton,1,C3,Medium,Used,1,31
2019,12,hamilton,2,C2,Hard,New,32,48
2019,12,hamilton,3,C3,Medium,Used,49,70
2019,12,hulkenberg,1,C3,Medium,New,1,36
2019,12,hulkenberg,2,C4,Soft,New,37,69
2019,12,kevin_magnussen,1,C3,Medium,New,1,38
2019,12,kevin_magnussen,2,C4,Soft,New,39,69
2019,12,kubica,1,C3,Medium,New,1,18
2019,12,kubica,2,C2,Hard,New,19,67
2019,12,kvyat,1,C3,Medium,New,1,21
2019,12,kvyat,2,C2,Hard,New,22,68
2019,12,leclerc,1,C3,Medium,Used,1,27
2019,12,leclerc,2,C2,Hard,Used,28,70
2019,12,max_verstappen,1,C3,Medium,Used,1,25
2019,12,max_verstappen,2,C2,Hard,New,26,67
2019,12,max_verstappen,3,C4,Soft,Used,68,70
2019,12,norris,1,C4,Soft,Used,1,28
2019,12,norris,2,C2,Hard,New,29,69
2019,12,perez,1,C3,Medium,New,1,18
2019,12,perez,2,C2,Hard,New,19,69
2019,12,raikkonen,1,C4,Soft,Used,1,29
2019,12,raikkonen,2,C3,Medium,New,30,69
2019,12,ricciardo,1,C2,Hard,New,1,46
2019,12,ricciardo,2,C4,Soft,New,47,69
2019,12,russell,1,C3,Medium,New,1,16
2019,12,russell,2,C2,Hard,New,17,68
2019,12,sainz,1,C4,Soft,Used,1,29
2019,12,sainz,2,C2,Hard,New,30,69
2019,12,stroll,1,C3,Medium,New,1,16
2019,12,stroll,2,C2,Hard,New,17,50
2019,12,stroll,3,C4,Soft,New,51,68
2019,12,vettel,1,C3,Medium,Used,1,39
2019,12,vettel,2,C4,Soft,New,40,70
