year,round,driverId,stint,tyre,tyre_description,tyre_status,from_lap,to_lap
2019,9,albon,1,C3,Medium,New,1,35
2019,9,albon,2,C2,Hard,New,36,70
2019,9,bottas,1,C3,Medium,Used,1,21
2019,9,bottas,2,C2,Hard,New,22,71
2019,9,gasly,1,C4,Soft,Used,1,25
2019,9,gasly,2,C2,Hard,New,26,70
2019,9,giovinazzi,1,C4,Soft,Used,1,24
2019,9,giovinazzi,2,C2,Hard,New,25,70
2019,9,grosjean,1,C3,Medium,New,1,34
2019,9,grosjean,2,C2,Hard,New,35,70
2019,9,hamilton,1,C3,Medium,Used,1,30
2019,9,hamilton,2,C2,Hard,New,31,71
2019,9,hulkenberg,1,C3,Medium,New,1,26
2019,9,hulkenberg,2,C2,Hard,New,27,70
2019,9,kevin_magnussen,1,C4,Soft,Used,1,11
2019,9,kevin_magnussen,2,C2,Hard,New,12,62
2019,9,kevin_magnussen,3,C4,Soft,Used,63,69
2019,9,kubica,1,C3,Medium,New,1,19
2019,9,kubica,2,C2,Hard,New,20,68
2019,9,kvyat,1,C3,Medium,New,1,32
2019,9,kvyat,2,C2,Hard,New,33,70
2019,9,leclerc,1,C4,Soft,Used,1,22
2019,9,leclerc,2,C2,Hard,Used,23,71
2019,9,max_verstappen,1,C3,Medium,Used,1,31
2019,9,max_verstappen,2,C2,Hard,New,32,71
2019,9,norris,1,C4,Soft,Used,1,25
2019,9,norris,2,C3,Medium,New,26,70
2019,9,perez,1,C3,Medium,New,1,28
2019,9,perez,2,C2,Hard,New,29,70
2019,9,raikkonen,1,C4,Soft,Used,1,23
2019,9,raikkonen,2,C2,Hard,New,24,70
2019,9,ricciardo,1,C3,Medium,New,1,46
2019,9,ricciardo,2,C4,Soft,New,47,70
2019,9,russell,1,C3,Medium,New,1,27
2019,9,russell,2,C2,Hard,New,28,69
2019,9,sainz,1,C3,Medium,New,1,41
2019,9,sainz,2,C2,Hard,New,42,70
2019,9,stroll,1,C3,Medium,New,1,25
2019,9,stroll,2,C2,Hard,New,26,70
2019,9,vettel,1,C4,Soft,Used,1,21
2019,9,vettel,2,C2,Hard,New,22,50
2019,9,vettel,3,C4,Soft,New,51,71
