year,round,driverId,stint,tyre,tyre_description,tyre_status,from_lap,to_lap
2019,14,albon,1,C4,Soft,Used,1,26
2019,14,albon,2,C3,Medium,New,27,53
2019,14,bottas,1,C4,Soft,Used,1,27
2019,14,bottas,2,C3,Medium,New,28,53
2019,14,gasly,1,C3,Medium,New,1,28
2019,14,gasly,2,C4,Soft,New,29,52
2019,14,giovinazzi,1,C4,Soft,New,1,21
2019,14,giovinazzi,2,C3,Medium,New,22,52
2019,14,grosjean,1,C4,Soft,New,1,7
2019,14,grosjean,2,C3,Medium,New,8,29
2019,14,grosjean,3,C4,Soft,New,30,52
2019,14,hamilton,1,C4,Soft,Used,1,19
2019,14,hamilton,2,C3,Medium,New,20,49
2019,14,hamilton,3,C4,Soft,Used,50,53
2019,14,hulkenberg,1,C4,Soft,Used,1,29
2019,14,hulkenberg,2,C3,Medium,New,30,53
2019,14,kevin_magnussen,1,C4,Soft,New,1,20
2019,14,kevin_magnussen,2,C3,Medium,New,21,34
2019,14,kevin_magnussen,3,C4,Soft,Used,35,43
2019,14,kubica,1,C3,Medium,New,1,29
2019,14,kubica,2,C4,Soft,New,30,44
2019,14,kubica,3,C3,Medium,New,45,51
2019,14,kvyat,1,C3,Medium,New,1,28
2019,14,kvyat,2,C4,Soft,New,29,29
2019,14,leclerc,1,C4,Soft,Used,1,20
2019,14,leclerc,2,C2,Hard,New,21,53
2019,14,max_verstappen,1,C3,Medium,New,1,1
2019,14,max_verstappen,2,C4,Soft,New,2,27
2019,14,max_verstappen,3,C3,Medium,Used,28,53
2019,14,norris,1,C3,Medium,New,1,23
2019,14,norris,2,C2,Hard,New,24,52
2019,14,perez,1,C3,Medium,New,1,28
2019,14,perez,2,C4,Soft,New,29,53
2019,14,raikkonen,1,C3,Medium,New,1,26
2019,14,raikkonen,2,C4,Soft,New,27,52
2019,14,ricciardo,1,C4,Soft,Used,1,30
2019,14,ricciardo,2,C3,Medium,New,31,53
2019,14,russell,1,C3,Medium,New,1,23
2019,14,russell,2,C2,Hard,New,24,52
2019,14,sainz,1,C4,Soft,Used,1,28
2019,14,stroll,1,C4,Soft,Used,1,22
2019,14,stroll,2,C3,Medium,New,23,52
2019,14,vettel,1,C4,Soft,Used,1,6
2019,14,vettel,2,C2,Hard,New,7,41
2019,14,vettel,3,C3,Medium,New,42,52
